"Browser JS App GitHub Repo URL","status","agent_loop","aipipe_tool","bootstrap_alert_errors","conversation_ui_clarity","error_handling","extras_without_bloat","google_search_tool","js_exec_sandboxed","model_picker_bootstrap_llm_provider","openai_tool_calls","readability","security_hygiene","separation_of_concerns","simplicity","streaming_or_updates","useful_affordances"
"https://github.com/ArnavLabh/LLM-Agent-POC","ok",0.2,0.15,0,0.1,0.1,0.05,0.05,0,0,0.2,0.1,0.05,0.1,0.05,0.1,0.1
"https://github.com/23f2000792/llm_agent","ok",0.2,0.15,0.1,0.1,0.1,0.05,0,0.2,0,0.2,0.1,0,0.1,0.15,0.1,0.1
"https://github.com/24f2007837/llm-agent-poc.git","ok",0.2,0.15,0.1,0.1,0.1,0.05,0.15,0,0,0.2,0.1,0.05,0.1,0.15,0.1,0.1
"https://github.com/Krasper707/browser-llm-agent-poc","ok",0.2,0.15,0.1,0.1,0.1,0.05,0.15,0,0.12,0.18,0.08,0.05,0.1,0.12,0.1,0.1
"https://github.com/PythonicVarun/LLM-Agent-POC","ok",0.2,0.15,0.1,0.1,0.08,0.05,0.15,0.2,0,0.2,0.08,0.04,0.05,0.12,0.1,0.1
"https://github.com/DivyaDarshiniS/Reasoning-Agent-POC","ok",0.2,0.15,0.1,0.1,0.1,0.05,0.15,0.2,0,0.2,0.1,0.05,0.1,0.15,0.1,0.1
"https://claretroselinepriya.github.io/LLMAgentPOC/","invalid_url",,,,,,,,,,,,,,,,
"https://24ds1000034.github.io/TDS_Bonus_AgentFlow/","invalid_url",,,,,,,,,,,,,,,,
"https://24f2009046.github.io/tds-llm-agent/","invalid_url",,,,,,,,,,,,,,,,
"https://github.com/vraghavans1/llm-agent-poc","ok",0.2,0.15,0.1,0.1,0.1,0.05,0.15,0.2,0,0.2,0.1,0.05,0.1,0.15,0.1,0.1
"https://github.com/vraghavans1/llm-agent-poc","ok",0.2,0.15,0.1,0.1,0.1,0.05,0.15,0.2,0,0.2,0.1,0.05,0.1,0.15,0.1,0.1
"https://github.com/ishaanseth/llm-agent-poc","ok",0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
